name_product,price_product
اسپرسوساز نوا مدل NOVA NCM-128EXPS,"۱۰,۶۴۰,۸۷۰"
اسپرسو ساز گوسونیک مدل GEM-873,"۶,۱۰۰,۰۰۰"
اسپرسو ساز دولچه گوستو مدل Mini-Me,"۵,۹۸۳,۸۴۰"
اسپرسو ساز نسپرسو مدل  Pixie EN124.S,"۱۳,۹۸۰,۰۰۰"
اسپرسوساز زیگما مدل rl-222,"۳,۱۳۰,۰۰۰"
اسپرسو ساز مباشی مدل ME-ECM 2034,"۸,۴۱۷,۱۹۰"
اسپرسوساز مباشی مدل ECM2013,"۴,۹۵۶,۱۴۰"
اسپرسو ساز مباشی مدل ECM2010,"۵,۴۹۵,۰۰۰"
اسپرسو ساز فیلیپس مدل EP3246,"۳۴,۰۰۰,۰۰۰"
اسپرسو ساز دلونگی مدل EC685,"۷,۸۵۸,۰۰۰"
